Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated "
09/08/2020,09/09/2020,Wards Island,WI,1065.00,623856.31,,1201485
09/13/2020,09/14/2020,26th Ward,26W,,,Possible analytical issue,290608
09/13/2020,09/14/2020,Bowery Bay,BB,1278.00,471008.06,,924695
09/13/2020,09/14/2020,Coney Island,CI,16954.00,8182822.51,This sample was analyzed in duplicate. The higher of the 2 results is reported,682342
09/13/2020,09/14/2020,Hunts Point,HP,492.00,297884.18,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
09/13/2020,09/14/2020,Jamaica Bay,JA,470.00,178159.38,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737
09/13/2020,09/14/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473
09/13/2020,09/14/2020,North River,NR,,,Concentration below Method Limit of Detection,658596
09/13/2020,09/14/2020,Oakwood Beach,OB,227.00,86502.52,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731
09/13/2020,09/14/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442
09/13/2020,09/14/2020,Port Richmond,PR,,,Concentration below Method Limit of Detection,226167
09/13/2020,09/14/2020,Red Hook,RH,450.00,175028.67,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029
09/13/2020,09/14/2020,Rockaway,RK,226.00,155806.96,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
09/13/2020,09/14/2020,Tallman Island,TI,,,Possible analytical issue,449907
09/13/2020,09/14/2020,Wards Island,WI,394.00,229809.11,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485
09/15/2020,09/16/2020,26th Ward,26W,524.00,307000.21,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
09/15/2020,09/16/2020,Bowery Bay,BB,972.00,342045.42,,924695
09/15/2020,09/16/2020,Coney Island,CI,1370.00,600528.29,,682342
09/15/2020,09/16/2020,Hunts Point,HP,1050.00,609928.65,,755948
09/15/2020,09/16/2020,Jamaica Bay,JA,497.00,185852.12,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737
09/15/2020,09/16/2020,Newtown Creek,NC,739.00,418405.52,,1156473
09/15/2020,09/16/2020,North River,NR,248.00,132375.39,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,658596
09/15/2020,09/16/2020,Oakwood Beach,OB,286.00,106099.04,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731
09/15/2020,09/16/2020,Owls Head,OH,2693.00,978422.37,,906442
09/15/2020,09/16/2020,Port Richmond,PR,247.00,95790.46,Concentration below Method Limit of Quantification (above Method Limit of Detection),226167
09/15/2020,09/16/2020,Red Hook,RH,275.00,107058.65,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029
09/15/2020,09/16/2020,Rockaway,RK,,,Analytical issue,120539
09/15/2020,09/16/2020,Tallman Island,TI,264.00,111188.74,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
09/15/2020,09/16/2020,Wards Island,WI,316.00,182907.37,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485
09/20/2020,09/21/2020,26th Ward,26W,432.00,264300.24,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
09/20/2020,09/21/2020,Bowery Bay,BB,1425.00,536848.07,,924695
09/20/2020,09/21/2020,Coney Island,CI,18543.00,8332566.57,,682342
09/20/2020,09/21/2020,Hunts Point,HP,568.00,338284.96,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
09/20/2020,09/21/2020,Jamaica Bay,JA,801.00,303807.68,,748737
09/20/2020,09/21/2020,Newtown Creek,NC,834.00,442147.50,,1156473
09/20/2020,09/21/2020,North River,NR,991.00,495392.42,,658596
09/20/2020,09/21/2020,Oakwood Beach,OB,644.00,224143.65,,258731
09/20/2020,09/21/2020,Owls Head,OH,2762.00,1003589.88,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442
09/20/2020,09/21/2020,Port Richmond,PR,850.00,311518.34,,226167
09/20/2020,09/21/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029
09/20/2020,09/21/2020,Rockaway,RK,628.00,414198.77,,120539
09/20/2020,09/21/2020,Tallman Island,TI,,,Possible analytical issue,449907
09/20/2020,09/21/2020,Wards Island,WI,1250.00,681430.89,,1201485
09/22/2020,09/23/2020,26th Ward,26W,835.00,478592.94,,290608
09/22/2020,09/23/2020,Bowery Bay,BB,289.00,106548.55,Concentration below Method Limit of Quantification (above Method Limit of Detection),924695
09/22/2020,09/23/2020,Coney Island,CI,271.00,124715.69,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342
