Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated "
03/21/2021,03/22/2021,Hunts Point,HP,19663.00,11520324.56,,755948
03/21/2021,03/22/2021,Jamaica Bay,JA,20890.00,8238053.29,,748737
03/21/2021,03/22/2021,Newtown Creek,NC,13936.00,7389544.86,,1156473
03/21/2021,03/22/2021,North River,NR,2374.00,1200787.25,,658596
03/21/2021,03/22/2021,Oakwood Beach,OB,15678.00,6308140.22,,258731
03/21/2021,03/22/2021,Owls Head,OH,28287.00,9923028.49,,906442
03/21/2021,03/22/2021,Port Richmond,PR,15871.00,6906410.15,,226167
03/21/2021,03/22/2021,Red Hook,RH,10431.00,3701452.59,,224029
03/21/2021,03/22/2021,Rockaway,RK,1713.00,1022307.47,,120539
03/21/2021,03/22/2021,Tallman Island,TI,10564.00,4977554.21,,449907
03/21/2021,03/22/2021,Wards Island,WI,9033.00,4553490.67,,1201485
03/28/2021,03/29/2021,26th Ward,26W,11554.00,13394205.70,,290608
03/28/2021,03/29/2021,Bowery Bay,BB,10802.00,7915021.80,This sample was analyzed in duplicate. The higher of the 2 results is reported,924695
03/28/2021,03/29/2021,Coney Island,CI,10481.00,5116567.33,,682342
03/28/2021,03/29/2021,Hunts Point,HP,8226.00,8856026.55,,755948
03/28/2021,03/29/2021,Jamaica Bay,JA,11315.00,6178349.59,,748737
03/28/2021,03/29/2021,Newtown Creek,NC,8011.00,7762081.51,,1156473
03/28/2021,03/29/2021,North River,NR,5395.00,4434220.75,,658596
03/28/2021,03/29/2021,Oakwood Beach,OB,8302.00,4129631.02,,258731
03/28/2021,03/29/2021,Owls Head,OH,11820.00,5873841.03,,906442
03/28/2021,03/29/2021,Port Richmond,PR,9202.00,7084692.10,,226167
03/28/2021,03/29/2021,Red Hook,RH,3993.00,2631098.83,,224029
03/28/2021,03/29/2021,Rockaway,RK,10541.00,7613738.64,,120539
03/28/2021,03/29/2021,Tallman Island,TI,13621.00,9626988.09,,449907
03/28/2021,03/29/2021,Wards Island,WI,13274.00,11417089.41,,1201485
04/04/2021,04/05/2021,26th Ward,26W,6689.00,4182085.86,,290608
04/04/2021,04/05/2021,Bowery Bay,BB,17793.00,6482707.58,,924695
04/04/2021,04/05/2021,Coney Island,CI,14230.00,5683885.96,,682342
04/04/2021,04/05/2021,Hunts Point,HP,6139.00,3596520.87,,755948
04/04/2021,04/05/2021,Jamaica Bay,JA,11465.00,4521145.97,,748737
04/04/2021,04/05/2021,Newtown Creek,NC,9415.00,4869383.05,,1156473
04/04/2021,04/05/2021,North River,NR,9751.00,4875996.50,,658596
04/04/2021,04/05/2021,Oakwood Beach,OB,11645.00,4974934.09,,258731
04/04/2021,04/05/2021,Owls Head,OH,22765.00,7795565.74,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442
04/04/2021,04/05/2021,Port Richmond,PR,19190.00,8350891.14,,226167
04/04/2021,04/05/2021,Red Hook,RH,6156.00,2184385.42,,224029
04/04/2021,04/05/2021,Rockaway,RK,7128.00,4252836.08,,120539
04/04/2021,04/05/2021,Tallman Island,TI,20474.00,8957721.55,,449907
04/04/2021,04/05/2021,Wards Island,WI,7718.00,4036633.36,,1201485
04/11/2021,04/12/2021,26th Ward,26W,9070.00,8860405.82,,290608
04/11/2021,04/12/2021,Bowery Bay,BB,8112.00,5147456.38,,924695
04/11/2021,04/12/2021,Coney Island,CI,7827.00,4385840.34,,682342
04/11/2021,04/12/2021,Hunts Point,HP,6203.00,5621986.52,,755948
04/11/2021,04/12/2021,Jamaica Bay,JA,15786.00,7821215.01,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737
04/11/2021,04/12/2021,Newtown Creek,NC,5744.00,5415048.74,,1156473
04/11/2021,04/12/2021,North River,NR,7848.00,5773603.23,,658596
04/11/2021,04/12/2021,Oakwood Beach,OB,6793.00,3468409.73,,258731
04/11/2021,04/12/2021,Owls Head,OH,13236.00,8457356.45,,906442
04/11/2021,04/12/2021,Port Richmond,PR,10282.00,9120498.64,,226167
04/11/2021,04/12/2021,Red Hook,RH,3445.00,2677891.65,,224029
04/11/2021,04/12/2021,Rockaway,RK,5308.00,3667132.45,,120539
04/11/2021,04/12/2021,Tallman Island,TI,7127.00,4856944.30,,449907
04/11/2021,04/12/2021,Wards Island,WI,9935.00,7418574.79,,1201485
04/18/2021,04/19/2021,26th Ward,26W,5273.00,3296974.47,,290608
04/18/2021,04/19/2021,Bowery Bay,BB,4080.00,1452998.31,,924695
04/18/2021,04/19/2021,Coney Island,CI,8295.00,3405362.07,,682342
04/18/2021,04/19/2021,Hunts Point,HP,2631.00,1646977.98,,755948
04/18/2021,04/19/2021,Jamaica Bay,JA,7918.00,3202574.17,,748737
04/18/2021,04/19/2021,Newtown Creek,NC,4299.00,2307645.87,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473
04/18/2021,04/19/2021,North River,NR,4001.00,2069456.39,,658596
04/18/2021,04/19/2021,Oakwood Beach,OB,8791.00,3704167.21,,258731
04/18/2021,04/19/2021,Owls Head,OH,14782.00,5123739.85,,906442
04/18/2021,04/19/2021,Port Richmond,PR,10112.00,4738953.05,,226167
04/18/2021,04/19/2021,Red Hook,RH,3996.00,1553103.43,,224029
04/18/2021,04/19/2021,Rockaway,RK,2780.00,1658725.42,,120539
04/18/2021,04/19/2021,Tallman Island,TI,5832.00,3091427.55,,449907
04/18/2021,04/19/2021,Wards Island,WI,7966.00,4316746.34,,1201485
04/25/2021,04/26/2021,26th Ward,26W,4247.00,3596200.14,This sample was analyzed in duplicate. The higher of the 2 results is reported,290608
04/25/2021,04/26/2021,Bowery Bay,BB,3344.00,2025793.30,,924695
04/25/2021,04/26/2021,Coney Island,CI,6364.00,3071391.22,,682342
04/25/2021,04/26/2021,Hunts Point,HP,3597.00,3097799.58,,755948
04/25/2021,04/26/2021,Jamaica Bay,JA,6417.00,3049564.69,,748737
04/25/2021,04/26/2021,Newtown Creek,NC,2527.00,2010363.02,,1156473
04/25/2021,04/26/2021,North River,NR,2559.00,1735796.48,,658596
04/25/2021,04/26/2021,Oakwood Beach,OB,14481.00,6398375.62,,258731
04/25/2021,04/26/2021,Owls Head,OH,8495.00,3725002.54,,906442
04/25/2021,04/26/2021,Port Richmond,PR,4903.00,2872223.58,,226167
04/25/2021,04/26/2021,Red Hook,RH,1143.00,675798.15,,224029
04/25/2021,04/26/2021,Rockaway,RK,4863.00,2901869.76,,120539
04/25/2021,04/26/2021,Tallman Island,TI,3185.00,2116937.21,,449907
04/25/2021,04/26/2021,Wards Island,WI,2879.00,2258786.73,,1201485
04/27/2021,04/28/2021,26th Ward,26W,11283.00,6907768.76,,290608
04/27/2021,04/28/2021,Bowery Bay,BB,4685.00,1687756.22,,924695
04/27/2021,04/28/2021,Coney Island,CI,6701.00,2713812.38,,682342
04/27/2021,04/28/2021,Hunts Point,HP,2688.00,1615486.46,,755948
04/27/2021,04/28/2021,Jamaica Bay,JA,8131.00,3124308.58,,748737
04/27/2021,04/28/2021,Newtown Creek,NC,3270.00,1776885.53,,1156473
04/27/2021,04/28/2021,North River,NR,2170.00,1147229.76,,658596
04/27/2021,04/28/2021,Oakwood Beach,OB,14031.00,5563112.51,,258731
04/27/2021,04/28/2021,Owls Head,OH,19811.00,7197768.76,,906442
04/27/2021,04/28/2021,Port Richmond,PR,4868.00,2036772.63,,226167
04/27/2021,04/28/2021,Red Hook,RH,1541.00,598732.09,,224029
04/27/2021,04/28/2021,Rockaway,RK,6182.00,3688369.86,This sample was analyzed in duplicate. The higher of the 2 results is reported,120539
04/27/2021,04/28/2021,Tallman Island,TI,6568.00,2762932.17,,449907
04/27/2021,04/28/2021,Wards Island,WI,5493.00,2907238.05,,1201485
05/02/2021,05/03/2021,26th Ward,26W,2216.00,1270023.20,,290608
05/02/2021,05/03/2021,Bowery Bay,BB,5190.00,1784757.22,,924695
05/02/2021,05/03/2021,Coney Island,CI,3528.00,1487597.90,,682342
05/02/2021,05/03/2021,Hunts Point,HP,3519.00,2167732.44,,755948
05/02/2021,05/03/2021,Jamaica Bay,JA,2779.00,1067730.37,,748737
05/02/2021,05/03/2021,Newtown Creek,NC,11537.00,6042152.23,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473
05/02/2021,05/03/2021,North River,NR,2034.00,1087170.05,,658596
05/02/2021,05/03/2021,Oakwood Beach,OB,9747.00,3779039.99,,258731
05/02/2021,05/03/2021,Owls Head,OH,4245.00,1471273.16,,906442
05/02/2021,05/03/2021,Port Richmond,PR,7026.00,2939786.07,,226167
05/02/2021,05/03/2021,Red Hook,RH,3418.00,1270699.08,,224029
05/02/2021,05/03/2021,Rockaway,RK,8489.00,4798661.16,,120539
05/02/2021,05/03/2021,Tallman Island,TI,3140.00,1320803.19,,449907
05/02/2021,05/03/2021,Wards Island,WI,6211.00,2700646.30,,1201485
05/09/2021,05/10/2021,26th Ward,26W,5093.00,4378554.12,,290608
05/09/2021,05/10/2021,Bowery Bay,BB,2060.00,1248148.49,,924695
05/09/2021,05/10/2021,Coney Island,CI,4400.00,2172663.80,,682342
05/09/2021,05/10/2021,Hunts Point,HP,1791.00,1560369.70,,755948
05/09/2021,05/10/2021,Jamaica Bay,JA,2421.00,1174906.30,,748737
05/09/2021,05/10/2021,Newtown Creek,NC,1698.00,1367560.67,,1156473
05/09/2021,05/10/2021,North River,NR,2390.00,1648660.76,,658596
05/09/2021,05/10/2021,Oakwood Beach,OB,9176.00,3906896.04,,258731
05/09/2021,05/10/2021,Owls Head,OH,4469.00,2295621.48,,906442
05/09/2021,05/10/2021,Port Richmond,PR,2686.00,1618281.24,,226167
05/09/2021,05/10/2021,Red Hook,RH,1337.00,813296.86,This sample was analyzed in duplicate. The higher of the 2 results is reported,224029
05/09/2021,05/10/2021,Rockaway,RK,1026.00,612155.54,,120539
05/09/2021,05/10/2021,Tallman Island,TI,2147.00,1246530.24,,449907
05/09/2021,05/10/2021,Wards Island,WI,2790.00,2101172.83,,1201485
05/11/2021,05/12/2021,26th Ward,26W,2333.00,1367700.16,,290608
05/11/2021,05/12/2021,Bowery Bay,BB,2343.00,796233.71,,924695
05/11/2021,05/12/2021,Coney Island,CI,3537.00,1432506.61,,682342
05/11/2021,05/12/2021,Hunts Point,HP,1979.00,1179543.13,,755948
05/11/2021,05/12/2021,Jamaica Bay,JA,1557.00,590472.31,,748737
05/11/2021,05/12/2021,Newtown Creek,NC,1279.00,690837.56,,1156473
05/11/2021,05/12/2021,North River,NR,1319.00,682247.55,,658596
05/11/2021,05/12/2021,Oakwood Beach,OB,5004.00,1954646.02,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731
05/11/2021,05/12/2021,Owls Head,OH,3311.00,1133867.79,,906442
05/11/2021,05/12/2021,Port Richmond,PR,1619.00,650219.25,,226167
05/11/2021,05/12/2021,Red Hook,RH,1704.00,633413.41,,224029
05/11/2021,05/12/2021,Rockaway,RK,2172.00,1227543.94,,120539
05/11/2021,05/12/2021,Tallman Island,TI,1457.00,698557.25,,449907
05/11/2021,05/12/2021,Wards Island,WI,2393.00,1304515.89,,1201485
05/16/2021,05/17/2021,26th Ward,26W,1906.00,1092307.38,,290608
05/16/2021,05/17/2021,Bowery Bay,BB,1427.00,496493.26,,924695
05/16/2021,05/17/2021,Coney Island,CI,2473.00,1015163.65,,682342
05/16/2021,05/17/2021,Hunts Point,HP,1283.00,693611.33,,755948
05/16/2021,05/17/2021,Jamaica Bay,JA,3534.00,1340107.44,,748737
05/16/2021,05/17/2021,Newtown Creek,NC,1593.00,834145.10,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473
05/16/2021,05/17/2021,North River,NR,862.00,431199.84,,658596
05/16/2021,05/17/2021,Oakwood Beach,OB,3507.00,1298191.45,,258731
05/16/2021,05/17/2021,Owls Head,OH,5167.00,1747889.57,,906442
05/16/2021,05/17/2021,Port Richmond,PR,1288.00,495675.29,,226167
05/16/2021,05/17/2021,Red Hook,RH,682.00,241939.54,,224029
05/16/2021,05/17/2021,Rockaway,RK,1077.00,642363.50,,120539
05/16/2021,05/17/2021,Tallman Island,TI,2549.00,1050767.93,,449907
05/16/2021,05/17/2021,Wards Island,WI,3656.00,1796842.78,,1201485
05/18/2021,05/19/2021,26th Ward,26W,1835.00,1027801.91,,290608
05/18/2021,05/19/2021,Bowery Bay,BB,4553.00,1584224.97,,924695
05/18/2021,05/19/2021,Coney Island,CI,4286.00,1735649.20,,682342
05/18/2021,05/19/2021,Hunts Point,HP,1699.00,935908.76,,755948
05/18/2021,05/19/2021,Jamaica Bay,JA,3461.00,1294929.59,,748737
05/18/2021,05/19/2021,Newtown Creek,NC,3846.00,2064783.39,,1156473
05/18/2021,05/19/2021,North River,NR,1245.00,629686.69,,658596
05/18/2021,05/19/2021,Oakwood Beach,OB,5970.00,2131280.22,,258731
05/18/2021,05/19/2021,Owls Head,OH,5161.00,1831935.43,,906442
05/18/2021,05/19/2021,Port Richmond,PR,1597.00,614711.71,This sample was analyzed in duplicate. The higher of the 2 results is reported,226167
05/18/2021,05/19/2021,Red Hook,RH,1106.00,392397.81,,224029
05/18/2021,05/19/2021,Rockaway,RK,358.00,191158.87,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
05/18/2021,05/19/2021,Tallman Island,TI,1536.00,633080.98,,449907
05/18/2021,05/19/2021,Wards Island,WI,1626.00,814675.84,,1201485
05/23/2021,05/24/2021,26th Ward,26W,8284.00,4855692.95,,290608
05/23/2021,05/24/2021,Bowery Bay,BB,2438.00,858271.19,,924695
05/23/2021,05/24/2021,Coney Island,CI,1796.00,677365.16,,682342
05/23/2021,05/24/2021,Hunts Point,HP,747.00,441388.50,,755948
05/23/2021,05/24/2021,Jamaica Bay,JA,508.00,189892.94,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737
05/23/2021,05/24/2021,Newtown Creek,NC,772.00,409344.76,,1156473
05/23/2021,05/24/2021,North River,NR,664.00,328412.61,,658596
05/23/2021,05/24/2021,Oakwood Beach,OB,12070.00,4432574.65,,258731
05/23/2021,05/24/2021,Owls Head,OH,1574.00,552241.96,,906442
05/23/2021,05/24/2021,Port Richmond,PR,3922.00,1575361.83,,226167
05/23/2021,05/24/2021,Red Hook,RH,576.00,204423.92,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029
05/23/2021,05/24/2021,Rockaway,RK,2003.00,1069573.06,This sample was analyzed in duplicate. The higher of the 2 results is reported,120539
05/23/2021,05/24/2021,Tallman Island,TI,648.00,272808.93,,449907
05/23/2021,05/24/2021,Wards Island,WI,1017.00,560596.24,,1201485
05/25/2021,05/26/2021,26th Ward,26W,964.00,540034.75,,290608
05/25/2021,05/26/2021,Bowery Bay,BB,1508.00,524641.00,,924695
05/25/2021,05/26/2021,Coney Island,CI,1002.00,411402.42,,682342
05/25/2021,05/26/2021,Hunts Point,HP,1323.00,689113.58,,755948
05/25/2021,05/26/2021,Jamaica Bay,JA,994.00,366926.99,,748737
05/25/2021,05/26/2021,Newtown Creek,NC,1252.00,688204.84,,1156473
05/25/2021,05/26/2021,North River,NR,737.00,393748.79,,658596
05/25/2021,05/26/2021,Oakwood Beach,OB,11969.00,5148411.08,,258731
05/25/2021,05/26/2021,Owls Head,OH,1558.00,598557.31,,906442
05/25/2021,05/26/2021,Port Richmond,PR,932.00,343090.90,,226167
05/25/2021,05/26/2021,Red Hook,RH,681.00,253058.49,,224029
05/25/2021,05/26/2021,Rockaway,RK,3406.00,1818164.54,,120539
05/25/2021,05/26/2021,Tallman Island,TI,1356.00,559130.09,,449907
05/25/2021,05/26/2021,Wards Island,WI,1527.00,779433.55,This sample was analyzed in duplicate. The higher of the 2 results is reported,1201485
05/30/2021,05/31/2021,26th Ward,26W,243.00,313037.93,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
05/30/2021,05/31/2021,Bowery Bay,BB,208.00,185746.37,Concentration below Method Limit of Quantification (above Method Limit of Detection),924695
05/30/2021,05/31/2021,Coney Island,CI,652.00,495195.34,,682342
05/30/2021,05/31/2021,Hunts Point,HP,359.00,427830.04,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
05/30/2021,05/31/2021,Jamaica Bay,JA,821.00,510310.77,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737
05/30/2021,05/31/2021,Newtown Creek,NC,406.00,488642.71,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
05/30/2021,05/31/2021,North River,NR,526.00,511016.31,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596
05/30/2021,05/31/2021,Oakwood Beach,OB,983.00,587994.23,,258731
05/30/2021,05/31/2021,Owls Head,OH,1379.00,806066.16,,906442
05/30/2021,05/31/2021,Port Richmond,PR,262.00,271610.95,Concentration below Method Limit of Quantification (above Method Limit of Detection),226167
05/30/2021,05/31/2021,Red Hook,RH,419.00,346776.47,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029
05/30/2021,05/31/2021,Rockaway,RK,526.00,412916.51,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
05/30/2021,05/31/2021,Tallman Island,TI,885.00,729627.56,,449907
05/30/2021,05/31/2021,Wards Island,WI,432.00,406053.54,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485
06/01/2021,06/02/2021,26th Ward,26W,1102.00,645657.80,,290608
06/01/2021,06/02/2021,Bowery Bay,BB,728.00,262187.88,,924695
06/01/2021,06/02/2021,Coney Island,CI,616.00,232340.76,,682342
06/01/2021,06/02/2021,Hunts Point,HP,342.00,200632.71,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
06/01/2021,06/02/2021,Jamaica Bay,JA,,,Concentration below Method Limit of Detection,748737
06/01/2021,06/02/2021,Newtown Creek,NC,298.00,162803.93,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
06/01/2021,06/02/2021,North River,NR,236.00,124859.39,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596
06/01/2021,06/02/2021,Oakwood Beach,OB,9973.00,4143887.45,,258731
06/01/2021,06/02/2021,Owls Head,OH,2686.00,1009610.74,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442
06/01/2021,06/02/2021,Port Richmond,PR,211.00,91739.07,Concentration below Method Limit of Quantification (above Method Limit of Detection),226167
06/01/2021,06/02/2021,Red Hook,RH,2446.00,950605.65,,224029
06/01/2021,06/02/2021,Rockaway,RK,737.00,486283.45,,120539
06/01/2021,06/02/2021,Tallman Island,TI,,,Concentration below Method Limit of Detection,449907
06/01/2021,06/02/2021,Wards Island,WI,1570.00,825830.29,,1201485
06/06/2021,06/07/2021,26th Ward,26W,552.00,330935.81,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
06/06/2021,06/07/2021,Bowery Bay,BB,617.00,232220.69,,924695
06/06/2021,06/07/2021,Coney Island,CI,841.00,340680.54,,682342
06/06/2021,06/07/2021,Hunts Point,HP,670.00,439401.06,,755948
06/06/2021,06/07/2021,Jamaica Bay,JA,790.00,307549.17,,748737
06/06/2021,06/07/2021,Newtown Creek,NC,557.00,309884.55,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
06/06/2021,06/07/2021,North River,NR,898.00,500630.53,,658596
06/06/2021,06/07/2021,Oakwood Beach,OB,3586.00,1500328.82,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731
06/06/2021,06/07/2021,Owls Head,OH,1623.00,569434.97,,906442
06/06/2021,06/07/2021,Port Richmond,PR,1097.00,734484.20,,226167
06/06/2021,06/07/2021,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",224029
06/06/2021,06/07/2021,Rockaway,RK,550.00,362516.50,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
06/06/2021,06/07/2021,Tallman Island,TI,1451.00,744893.68,,449907
06/06/2021,06/07/2021,Wards Island,WI,1184.00,824260.53,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",1201485
06/08/2021,06/09/2021,26th Ward,26W,279.00,298046.50,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
06/08/2021,06/09/2021,Bowery Bay,BB,2298.00,1307803.50,,924695
06/08/2021,06/09/2021,Coney Island,CI,1090.00,816492.77,,682342
06/08/2021,06/09/2021,Hunts Point,HP,371.00,326575.32,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
06/08/2021,06/09/2021,Jamaica Bay,JA,415.00,188951.76,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737
06/08/2021,06/09/2021,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473
06/08/2021,06/09/2021,North River,NR,933.00,740370.99,,658596
06/08/2021,06/09/2021,Oakwood Beach,OB,2992.00,1453309.35,,258731
06/08/2021,06/09/2021,Owls Head,OH,3161.00,1451941.70,,906442
06/08/2021,06/09/2021,Port Richmond,PR,595.00,518021.60,,226167
06/08/2021,06/09/2021,Red Hook,RH,,,Concentration below Method Limit of Detection,224029
06/08/2021,06/09/2021,Rockaway,RK,458.00,301985.96,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
06/08/2021,06/09/2021,Tallman Island,TI,311.00,182891.78,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
06/08/2021,06/09/2021,Wards Island,WI,357.00,299076.59,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,1201485
06/13/2021,06/14/2021,26th Ward,26W,584.00,350212.16,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
06/13/2021,06/14/2021,Bowery Bay,BB,443.00,154064.56,Concentration below Method Limit of Quantification (above Method Limit of Detection),924695
06/13/2021,06/14/2021,Coney Island,CI,1265.00,512222.01,,682342
06/13/2021,06/14/2021,Hunts Point,HP,931.00,498876.24,,755948
06/13/2021,06/14/2021,Jamaica Bay,JA,653.00,250799.65,,748737
06/13/2021,06/14/2021,Newtown Creek,NC,282.00,152073.65,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473
06/13/2021,06/14/2021,North River,NR,1609.00,823081.20,,658596
06/13/2021,06/14/2021,Oakwood Beach,OB,4291.00,1695102.64,,258731
06/13/2021,06/14/2021,Owls Head,OH,11604.00,3925177.22,,906442
06/13/2021,06/14/2021,Port Richmond,PR,1962.00,886684.06,,226167
06/13/2021,06/14/2021,Red Hook,RH,1447.00,660176.91,,224029
06/13/2021,06/14/2021,Rockaway,RK,850.00,587087.88,,120539
06/13/2021,06/14/2021,Tallman Island,TI,503.00,224200.64,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
06/13/2021,06/14/2021,Wards Island,WI,1297.00,723276.59,,1201485
06/15/2021,06/16/2021,26th Ward,26W,334.00,200381.01,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
06/15/2021,06/16/2021,Bowery Bay,BB,964.00,339520.98,,924695
06/15/2021,06/16/2021,Coney Island,CI,582.00,252048.99,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342
06/15/2021,06/16/2021,Hunts Point,HP,642.00,369873.70,,755948
06/15/2021,06/16/2021,Jamaica Bay,JA,262.00,99222.55,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737
06/15/2021,06/16/2021,Newtown Creek,NC,181.00,103514.05,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
06/15/2021,06/16/2021,North River,NR,975.00,532595.12,,658596
06/15/2021,06/16/2021,Oakwood Beach,OB,3554.00,1404124.88,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731
06/15/2021,06/16/2021,Owls Head,OH,7629.00,2931147.51,,906442
06/15/2021,06/16/2021,Port Richmond,PR,566.00,255563.18,Concentration below Method Limit of Quantification (above Method Limit of Detection),226167
06/15/2021,06/16/2021,Red Hook,RH,603.00,244616.24,,224029
06/15/2021,06/16/2021,Rockaway,RK,948.00,625164.12,,120539
06/15/2021,06/16/2021,Tallman Island,TI,532.00,232844.14,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
06/15/2021,06/16/2021,Wards Island,WI,1145.00,620629.74,,1201485
06/20/2021,06/21/2021,26th Ward,26W,830.00,529845.73,,290608
06/20/2021,06/21/2021,Bowery Bay,BB,889.00,316446.39,,924695
06/20/2021,06/21/2021,Coney Island,CI,,,Concentration below Method Limit of Detection,682342
06/20/2021,06/21/2021,Hunts Point,HP,624.00,412614.59,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
06/20/2021,06/21/2021,Jamaica Bay,JA,644.00,241045.67,,748737
06/20/2021,06/21/2021,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473
06/20/2021,06/21/2021,North River,NR,1224.00,647481.43,,658596
06/20/2021,06/21/2021,Oakwood Beach,OB,2892.00,1087319.53,,258731
06/20/2021,06/21/2021,Owls Head,OH,7782.00,2859741.81,,906442
06/20/2021,06/21/2021,Port Richmond,PR,1029.00,430658.57,,226167
06/20/2021,06/21/2021,Red Hook,RH,1437.00,510008.50,,224029
06/20/2021,06/21/2021,Rockaway,RK,216.00,142526.27,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
06/20/2021,06/21/2021,Tallman Island,TI,241.00,97342.66,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
06/20/2021,06/21/2021,Wards Island,WI,663.00,418010.96,,1201485
06/22/2021,06/23/2021,26th Ward,26W,1216.00,823600.88,,290608
06/22/2021,06/23/2021,Bowery Bay,BB,400.00,184855.58,Concentration below Method Limit of Quantification (above Method Limit of Detection),924695
06/22/2021,06/23/2021,Coney Island,CI,4250.00,1957165.70,,682342
06/22/2021,06/23/2021,Hunts Point,HP,907.00,604145.43,,755948
06/22/2021,06/23/2021,Jamaica Bay,JA,724.00,314663.39,,748737
06/22/2021,06/23/2021,Newtown Creek,NC,920.00,623649.16,,1156473
06/22/2021,06/23/2021,North River,NR,482.00,299203.21,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596
06/22/2021,06/23/2021,Oakwood Beach,OB,2883.00,1130367.76,,258731
06/22/2021,06/23/2021,Owls Head,OH,7489.00,3158890.97,,906442
06/22/2021,06/23/2021,Port Richmond,PR,1086.00,508969.55,,226167
06/22/2021,06/23/2021,Red Hook,RH,289.00,127004.56,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029
06/22/2021,06/23/2021,Rockaway,RK,,,Concentration below Method Limit of Detection,120539
06/22/2021,06/23/2021,Tallman Island,TI,597.00,326628.08,This sample was analyzed in duplicate. The higher of the 2 results is reported,449907
06/22/2021,06/23/2021,Wards Island,WI,1043.00,699944.77,,1201485
06/27/2021,06/28/2021,26th Ward,26W,670.00,410468.71,,290608
06/27/2021,06/28/2021,Bowery Bay,BB,1276.00,459845.16,,924695
06/27/2021,06/28/2021,Coney Island,CI,732.00,292291.38,,682342
06/27/2021,06/28/2021,Hunts Point,HP,407.00,242608.25,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
06/27/2021,06/28/2021,Jamaica Bay,JA,338.00,141802.58,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737
06/27/2021,06/28/2021,Newtown Creek,NC,1271.00,698736.89,,1156473
06/27/2021,06/28/2021,North River,NR,647.00,364428.51,,658596
06/27/2021,06/28/2021,Oakwood Beach,OB,7557.00,2885776.13,,258731
06/27/2021,06/28/2021,Owls Head,OH,2972.00,1042569.61,,906442
06/27/2021,06/28/2021,Port Richmond,PR,2312.00,967223.17,,226167
06/27/2021,06/28/2021,Red Hook,RH,456.00,169580.01,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,224029
