OBJECTID,state_name,state_fips,state_abbr,hhs_region,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_cov,staffed_adult_icu_bed_occ,staffed_adult_icu_bed_occ_cov,staff_icu_ad_conf_sus_cov,staff_icu_ad_conf_sus_cov_cov,total_staff_ad_icu_beds,total_staff_ad_icu_beds_cov,inpatient_beds_utilization,inpatient_beds_util_cov,inpatient_beds_util_num,inpatient_beds_util_den,perc_inpt_covid,perc_inpt_covid_cov,perc_inpt_covid_num,perc_inpt_covid_den,inpt_bed_covid_util,inpt_bed_covid_util_cov,inpt_bed_covid_util_num,inpt_bed_covid_util_den,ad_icu_bed_covid_util,ad_icu_bed_covid_util_cov,ad_icu_bed_covid_util_num,ad_icu_bed_covid_util_den,ad_icu_bed_util,ad_icu_bed_util_cov,ad_icu_bed_util_num,ad_icu_bed_util_den,reporting_cutoff_start,hospital_onset_covid,hospital_onset_covid_coverage,staff_icu_ad_conf_cov,staff_icu_ad_conf_cov_cov,tot_ad_pat_hosp_conf_sus_cov,tot_ad_pat_hosp_conf_sus_cc,tot_ad_pat_hosp_conf_cov,tot_ad_pat_hosp_conf_cov_cov,tot_ped_pat_hosp_conf_sus_cov,tot_ped_pat_hosp_conf_sus_cc,tot_ped_pat_hosp_conf_cov,tot_ped_pat_hosp_conf_cov_cov,last_updated,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage
12,Kansas,20,KS,7,6588,121,4200,121,215,118,501,121,26,118,651,121,0.63752276867031,121,4200,6588,0.051719990377676,118,215,4157,0.032960294343094,118,215,6523,0.041074249605055,118,26,633,0.769585253456221,121,501,651,2020/07/26 00:00:00+00,4,118,27,121,213,118,201,121,2,118,1,118,2023/01/12 13:30:00+00,6,16,99,17,94,10,29,121,0,121,0,118,1,118
13,Louisiana,22,LA,6,12718,146,9217,146,479,144,1158,146,84,144,1464,146,0.724720868061016,146,9217,12718,0.052412736623263,144,479,9139,0.037982713504084,144,479,12611,0.058011049723757,144,84,1448,0.790983606557377,146,1158,1464,2020/07/26 00:00:00+00,543,144,80,146,463,144,454,146,16,144,15,144,2023/01/12 13:30:00+00,2,29,115,12,121,13,96,146,2,145,5,144,0,144
14,Minnesota,27,MN,5,9484,128,8031,128,528,127,661,128,52,127,863,128,0.846794601433994,128,8031,9484,0.066767830045524,127,528,7908,0.056573449051752,127,528,9333,0.061904761904762,127,52,840,0.765932792584009,128,661,863,2020/07/26 00:00:00+00,28,127,48,128,504,127,478,128,24,127,16,127,2023/01/12 13:30:00+00,0,1,127,9,77,42,52,128,0,128,0,127,3,127
15,Missouri,29,MO,7,14954,118,12874,118,996,114,1537,118,158,114,1806,118,0.860906780794436,118,12874,14954,0.078710289236605,114,996,12654,0.067732063923835,114,996,14705,0.090961427748993,114,158,1737,0.851052048726467,118,1537,1806,2020/07/26 00:00:00+00,31,114,125,118,956,114,799,118,40,114,21,114,2023/01/12 13:30:00+00,3,23,92,26,59,33,113,118,0,118,5,114,17,114
16,Montana,30,MT,8,2568,61,1775,61,59,60,133,61,3,60,217,61,0.69119937694704,61,1775,2568,0.03363740022805,60,59,1754,0.023237495076802,60,59,2539,0.014218009478673,60,3,211,0.612903225806452,61,133,217,2020/07/26 00:00:00+00,1,60,3,61,58,60,59,61,1,60,1,60,2023/01/12 13:30:00+00,5,40,16,6,51,4,14,61,0,61,1,60,0,60
17,Nebraska,31,NE,7,4520,91,3425,91,213,90,383,91,22,90,469,91,0.757743362831858,91,3425,4520,0.063204747774481,90,213,3370,0.047747141896436,90,213,4461,0.048458149779736,90,22,454,0.816631130063966,91,383,469,2020/07/26 00:00:00+00,2,90,22,91,209,90,202,91,4,90,4,90,2023/01/12 13:30:00+00,1,4,86,8,77,6,20,91,0,91,0,90,0,90
18,New Mexico,35,NM,6,3209,45,2217,45,86,45,262,45,16,45,318,45,0.690869429728888,45,2217,3209,0.038246268656716,44,82,2144,0.026451612903226,44,82,3100,0.053872053872054,44,16,297,0.823899371069182,45,262,318,2020/07/26 00:00:00+00,1,45,14,46,82,45,73,46,4,45,3,45,2023/01/12 13:30:00+00,0,2,44,17,28,1,15,46,0,46,1,45,1,45
19,North Dakota,38,ND,8,1956,44,1524,44,50,43,109,44,1,43,213,44,0.779141104294479,44,1524,1956,0.033222591362126,43,50,1505,0.025906735751295,43,50,1930,0.004784688995215,43,1,209,0.511737089201878,44,109,213,2020/07/26 00:00:00+00,15,43,1,44,49,43,51,44,1,43,1,43,2023/01/12 13:30:00+00,0,0,44,9,31,4,10,44,0,44,0,43,0,43
20,Oklahoma,40,OK,6,8855,125,6686,125,443,123,745,125,93,123,889,125,0.755053642010164,125,6686,8855,0.067695599022005,123,443,6544,0.050948821161587,123,443,8695,0.109283196239718,123,93,851,0.838020247469066,125,745,889,2020/07/26 00:00:00+00,9,123,84,125,397,123,346,125,46,123,33,123,2023/01/12 13:30:00+00,4,11,110,27,86,12,62,125,0,125,2,123,1,123
21,South Dakota,46,SD,8,1768,60,1124,60,39,57,94,60,1,57,150,60,0.635746606334842,60,1124,1768,0.035648994515539,57,39,1094,0.022914218566392,57,39,1702,0.007194244604317,57,1,139,0.626666666666667,60,94,150,2020/07/26 00:00:00+00,0,57,1,60,37,57,36,60,2,57,1,57,2023/01/12 13:30:00+00,1,3,56,3,47,10,3,60,0,60,0,57,0,57
22,Texas,48,TX,6,59338,451,48417,451,3653,451,5831,451,624,451,6412,451,0.815952677879268,451,48417,59338,0.075448706033005,451,3653,48417,0.061562573730156,451,3653,59338,0.09731752963194,451,624,6412,0.90938864628821,451,5831,6412,2020/07/26 00:00:00+00,154,451,547,451,3516,451,3171,451,137,451,100,451,2023/01/12 13:30:00+00,4,23,424,6,44,401,582,451,0,451,15,451,59,451
23,Utah,49,UT,8,5783,50,3724,50,161,49,369,50,26,49,518,50,0.643956424001383,50,3724,5783,0.043821448013065,49,161,3674,0.028210968985456,49,161,5707,0.051181102362205,49,26,508,0.712355212355212,50,369,518,2020/07/26 00:00:00+00,0,49,26,50,140,49,134,50,21,49,17,49,2023/01/12 13:30:00+00,1,6,43,1,40,9,28,50,0,50,6,49,0,49
24,Wyoming,56,WY,8,1298,27,629,27,27,25,44,27,0,25,109,27,0.484591679506934,27,629,1298,0.043548387096774,25,27,620,0.021276595744681,25,27,1269,0,25,0,103,0.403669724770642,27,44,109,2020/07/26 00:00:00+00,0,25,0,27,27,25,14,27,0,25,0,25,2023/01/12 13:30:00+00,0,1,26,3,18,6,8,27,0,27,0,25,3,25
25,Alabama,01,AL,4,13283,97,10458,97,645,95,1336,97,113,95,1525,97,0.787322141082587,97,10458,13283,0.06231282001739,95,645,10351,0.049075553526592,95,645,13143,0.075991930060525,95,113,1487,0.876065573770492,97,1336,1525,2020/07/26 00:00:00+00,26,95,108,97,622,95,579,97,23,95,17,95,2023/01/12 13:30:00+00,1,1,95,34,46,17,94,97,0,97,4,95,6,95
26,Connecticut,09,CT,1,7514,33,6265,33,791,32,657,33,55,32,891,33,0.833776949693905,33,6265,7514,0.127663008392511,32,791,6196,0.106374394835933,32,791,7436,0.063291139240506,32,55,869,0.737373737373737,33,657,891,2020/07/26 00:00:00+00,32,32,57,33,723,32,699,33,68,32,12,32,2023/01/12 13:30:00+00,1,1,31,3,21,9,109,33,0,33,1,32,7,32
27,Delaware,10,DE,3,2492,10,3246,10,253,9,239,10,20,9,181,10,1.30256821829855,10,3246,2492,0.078791653690439,9,253,3211,0.103013029315961,9,253,2456,0.114285714285714,9,20,175,1.32044198895028,10,239,181,2020/07/26 00:00:00+00,12,9,20,10,240,9,191,10,13,9,7,9,2023/01/12 13:30:00+00,1,2,7,4,4,2,20,10,0,10,0,9,0,9
28,District of Columbia,11,DC,3,3216,12,2667,12,273,11,282,12,27,11,326,12,0.829291044776119,12,2667,3216,0.106974921630094,11,273,2552,0.088378115895112,11,273,3089,0.087947882736156,11,27,307,0.865030674846626,12,282,326,2020/07/26 00:00:00+00,13,11,24,12,253,11,225,12,20,11,15,11,2023/01/12 13:30:00+00,0,0,12,0,10,2,22,12,0,12,3,11,0,11
29,Florida,12,FL,4,53271,207,44355,207,3298,201,5001,207,321,201,6174,207,0.832629385594414,207,44355,53271,0.075346690731306,201,3298,43771,0.0627079649383,201,3298,52593,0.053075396825397,201,321,6048,0.810009718172984,207,5001,6174,2020/07/26 00:00:00+00,89,201,305,207,3265,201,3080,207,33,201,33,201,2023/01/12 13:30:00+00,5,50,152,33,105,69,429,207,1,207,9,201,6,201
30,Georgia,13,GA,4,20735,146,16759,146,1789,143,2089,146,241,143,2498,146,0.808246925488305,146,16759,20735,0.108188195452346,143,1789,16536,0.087336457723101,143,1789,20484,0.098207008964955,143,241,2454,0.83626901521217,146,2089,2498,2020/07/26 00:00:00+00,30,143,195,146,1743,143,1372,146,46,143,23,143,2023/01/12 13:30:00+00,25,63,58,29,77,40,199,146,0,146,6,143,36,143
31,Illinois,17,IL,5,27476,174,20404,174,1781,169,2132,174,172,169,3056,174,0.742611733876838,174,20404,27476,0.088501291989664,169,1781,20124,0.065663827747668,169,1781,27123,0.057467423989308,169,172,2993,0.697643979057592,174,2132,3056,2020/07/26 00:00:00+00,34,169,166,174,1740,169,1354,174,41,169,24,169,2023/01/12 13:30:00+00,2,60,112,14,132,28,189,174,0,165,3,169,15,169
32,Indiana,18,IN,5,14487,130,11131,130,561,128,1456,130,96,128,1949,130,0.768344032580935,130,11131,14487,0.050884353741497,128,561,11025,0.039083182388184,128,561,14354,0.050261780104712,128,96,1910,0.747049769112365,130,1456,1949,2020/07/26 00:00:00+00,1,128,85,130,546,128,485,130,15,128,5,128,2023/01/12 13:30:00+00,9,97,24,8,108,14,100,130,1,130,2,128,7,128
33,Kentucky,21,KY,4,10486,88,8374,88,497,86,911,88,69,86,1127,88,0.798588594316231,88,8374,10486,0.060425531914894,86,497,8225,0.048135593220339,86,497,10325,0.063948100092678,86,69,1079,0.808340727595386,88,911,1127,2020/07/26 00:00:00+00,10,86,65,88,464,86,396,88,33,86,9,86,2023/01/12 13:30:00+00,1,14,73,14,67,7,63,88,0,88,1,86,13,86
34,Maine,23,ME,1,3134,35,2282,35,146,34,237,35,23,34,323,35,0.72814294830887,35,2282,3134,0.06468763845813,34,146,2257,0.047157622739018,34,146,3096,0.073482428115016,34,23,313,0.73374613003096,35,237,323,2020/07/26 00:00:00+00,7,34,24,35,142,34,145,35,4,34,4,34,2023/01/12 13:30:00+00,1,3,31,2,20,13,13,35,0,35,1,34,3,34
